Round,Drafted,Position,Team
Pecan1,Le'Veon Bell,PIT,RB
Ramrod1,Todd Gurley,LAR,RB
Roughnecks1,David Johnson,ARI,RB
Shooters1,Ezekiel Elliott,DAL,RB
Blowfish1,Kareem Hunt,KC,RB
Ransackers1,Alvin Kamara,NO,RB
Roadside1,Saquon Barkley,NYG,RB
Avengers1,Antonio Brown,PIT,WR
WWYC1,Melvin Gordon,LAC,RB
Havana1,Leonard Fournette,JAC,RB
Mahi1,Dalvin Cook,MIN,RB
Rivercity1,Christian McCaffrey,CAR,RB
Rynos1,Devonta Freeman,ATL,RB
Buzzards1,Davante Adams,GB,WR
Buzzards2,Jordan Howard,CHI,RB
Rynos2,DeAndre Hopkins,HOU,WR
Rivercity2,Julio Jones,ATL,WR
Mahi2,Joe MIxon,CIN,RB
Havana2,Odell Beckham Jr.,NYG,WR
WWYC2,Derrick Henry,TEN,RB
Avengers2,Jerick McKinnon,SF,RB
Roadside2,Keenan Allen,LAC,WR
Ransackers2,Alex Collins,BAL,RB
Blowfish2,Rob Gronkowski,NE,TE
Shooters2,Royce Freeman,DEN,RB
Roughnecks2,LeSean McCoy,BUF,RB
Ramrod2,Jimmy Graham,GB,TE
Pecan2,Jay Ajayi,PHI,RB
Pecan3,Zach Ertz,PHI,TE
Ramrod3,A.J. Green,CIN,WR
Roughnecks3,Mark Ingram,NO,RB
Shooters3,Stefon Diggs,MIN,WR
Blowfish3,Aaron Rodgers,GB,QB
Ransackers3,Lamar Miller,HOU,RB
Roadside3,MIchael Thomas,NO,WR
Avengers3,Mike Evans,TB,WR
WWYC3,Marshawn Lynch,OAK,RB
Havana3,Juju Smith-Schuster,PIT,WR
Mahi3,Tyreek Hill,KC,WR
Rivercity3,Travis Kelce,KC,TE
Rynos3,Amari Cooper,OAK,WR
Buzzards3,Doug Baldwin,SEA,WR
Buzzards4,Brandin Cooks,LAR,WR
Rynos4,Adrian Peterson,WAS,RB
Rivercity4,Sony Michel,NE,RB
Mahi4,Rex Burkhead,NE,RB
Havana4,Devin Funchess,CAR,WR
WWYC4,Josh Gordon,CLE,WR
Avengers4,Adam Thielen,MIN,WR
Roadside4,Kenyan Drake,MIA,RB
Ransackers4,Larry Fitzgerald,ARI,WR
Blowfish4,Nelson Agholor,PHI,WR
Shooters4,Jarvis Landry,CLE,WR
Roughnecks4,Isaiah Crowell,NYJ,RB
Ramrod4,Ronald Jones II,TB,RB
Pecan4,Chris Carson,SEA,RB
Pecan5,T.Y. Hilton,IND,WR
Ramrod5,Dion Lewis,TEN,RB
Roughnecks5,Chris Hogan,NE,WR
Shooters5,Kerryon Johnson,DET,RB
Blowfish5,Robert Woods,LAR,WR
Ransackers5,Allen Robinson,CHI,WR
Roadside5,Tevin Coleman,ATL,RB
Avengers5,Jamaal Williams,GB,RB
WWYC5,Marvin Jones,DET,WR
Havana5,Tom Brady,NE,QB
Mahi5,Russell WIlson,SEA,QB
Rivercity5,Aaron Jones,GB,RB
Rynos5,Deshaun Watson,HOU,QB
Buzzards5,Marlon Mack,IND,RB
Buzzards6,Drew Brees,NO,QB
Rynos6,Carlos Hyde,CLE,RB
Rivercity6,Carson Wentz,PHI,QB
Mahi6,Michael Crabtree,BAL,WR
Havana6,Rashaad Penny,SEA,RB
WWYC6,Kyle Rudolph,MIN,TE
Avengers6,Duke Johnson,CLE,RB
Roadside6,Alshon Jeffery,PHI,WR
Ransackers6,Cam Newton,CAR,QB
Blowfish6,Randall Cobb,GB,WR
Shooters6,Devontae Booker,DEN,RB
Roughnecks6,Demaryius Thomas,DEN,WR
Ramrod6,LeGarrette Blount,DET,RB
Pecan6,Corey Davis,TEN,WR
Pecan7,Golden Tate,DET,WR
Ramrod7,Will Fuller,HOU,WR
Roughnecks7,Nick Chubb,CLE,RB
Shooters7,Sammy Watkins,KC,WR
Blowfish7,Javorius Allen,BAL,RB
Ransackers7,Marqise Lee,JAC,WR
Roadside7,Latavius Murray,MIN,RB
Avengers7,Greg Olsen,CAR,TE
WWYC7,Jordy Nelson,OAK,WR
Havana7,C.J. Anderson,CAR,RB
Mahi7,Kelvin Benjamin,BUF,WR
Rivercity7,Josh Doctson,WAS,WR
Rynos7,Trey Burton,CHI,TE
Buzzards7,Peyton Barber,TB,RB
Buzzards8,Tarik Cohen,CHI,RB
Rynos8,Mike Williams,LAC,WR
Rivercity8,Kenny Golladay,DET,WR
Mahi8,David Njoku,CLE,TE
Havana8,Evan Engram,NYG,TE
WWYC8,Andrew Luck,IND,QB
Avengers8,Matthew Stafford,DET,QB
Roadside8,Marquise Goodwin,SF,WR
Ransackers8,George KIttle,SF,TE
Blowfish8,Matt Breida,SF,RB
Shooters8,Robby Anderson,NYJ,WR
Roughnecks8,Dez Bryant,FA,WR
Ramrod8,Philip Rivers,LAC,QB
Pecan8,Jordan Wilkins,IND,RB
Pecan9,Pierre Garcon,SF,WR
Ramrod9,Stephen Gostkowski,NE,K
Roughnecks9,Marcus Mariota,TEN,QB
Shooters9,O.J. Howard,TB,TE
Blowfish9,D.J. Moore,CAR,WR
Ransackers9,Frank Gore,MIA,RB
Roadside9,James White,NE,RB
Avengers9,Emmanuel Sanders,DEN,WR
WWYC9,Kirk Cousins,MIN,QB
Havana9,Kalen Ballage,MIA,RB
Mahi9,Julian Edelman,NE,WR
Rivercity9,Theo Riddick,DET,RB
Rynos9,JImmy Garoppolo,SF,QB
Buzzards9,Sterling Shepard,NYG,WR
Buzzards10,Corey Clement,PHI,RB
Rynos10,Michael Gallup,DAL,WR
Rivercity10,Calvin Ridley,ATL,WR
Mahi10,Chris Thompson,WAS,RB
Havana10,T.J. Yeldon,JAC,RB
WWYC10,Mohamed Sanu,ATL,WR
Avengers10,Giovani Bernard,CIN,RB
Roadside10,Ben Roethlisberger,PIT,QB
Ransackers10,Kenny Stills,MIA,WR
Blowfish10,Austin Ekeler,LAC,RB
Shooters10,Patrick Mahomes,KC,QB
Roughnecks10,Jordan Reed,WAS,TE
Ramrod10,Cooper Kupp,LAR,WR
Pecan10,Matt Ryan,ATL,QB
Pecan11,Jamison Crowder,WAS,WR
Ramrod11,Derek Carr,OAK,QB
Roughnecks11,Dak Prescott,DAL,QB
Shooters11,Jared Goff,LAR,QB
Blowfish11,Doug Martin,OAK,RB
Ransackers11,Chase Edmonds,ARI,RB
Roadside11,Delanie Walker,TEN,TE
Avengers11,Ty Montgomery,GB,RB
WWYC11,Cameron Meredith,NO,WR
Havana11,DeSean Jackson,TB,WR
Mahi11,James Conner,PIT,RB
Rivercity11,Alex Smith,WAS,QB
Rynos11,Courtland Sutton,DEN,WR
Buzzards11,Jack Doyle,IND,TE
Buzzards12,James Washington,PIT,WR
Rynos12,Greg Zuerlein,LAR,K
Rivercity12,Jonathan Stewart,NYG,RB
Mahi12,Harrison Butker,KC,K
Havana12,Chris Godwin,TB,WR
WWYC12,Kenneth Dixon,BAL,RB
Avengers12,Rishard Matthews,TEN,WR
Roadside12,Tyler Eifert,CIN,TE
Ransackers12,Tyrell Williams,LAC,WR
Blowfish12,Tyler Lockett,SEA,WR
Shooters12,Eric Decker,NE,WR
Roughnecks12,Allen Hurns,DAL,WR
Ramrod12,Martavis Bryant,OAK,WR
Pecan12,D'Onta Foreman,HOU,RB
Pecan13,Justin Tucker,BAL,K
Ramrod13,John Ross,CIN,WR
Roughnecks13,Terrance Williams,DAL,WR
Shooters13,Rod Smith,DAL,RB
Blowfish13,Chris Boswell,PIT,K
Ransackers13,Blake Bortles,JAC,QB
Roadside13,Geronimo Allison,GB,WR
Avengers13,Mitch Trubisky,CHI,QB
WWYC13,Spencer Ware,KC,RB
Havana13,Jameis Winston,TB,QB
Mahi13,Christian Kirk,ARI,WR
Rivercity13,Matt Prater,DET,K
Rynos13,Samaje Perine,WAS,RB
Buzzards13,Eli Manning,NYG,QB
Buzzards14,Mason Crosby,GB,K
Rynos14,Bilal Powell,NYJ,RB
Rivercity14,Eric Ebron,IND,TE
Mahi14,Austin Seferian-Jenkins,JAC,TE
Havana14,Will Lutz,NO,K
WWYC14,Matt Bryant,ATL,K
Avengers14,Dan Bailey,DAL,K
Roadside14,Jake Elliott,PHI,K
Ransackers14,Graham Gano,CAR,K
Blowfish14,Case Keenum,DEN,QB
Shooters14,Ryan Succop,TEN,K
Roughnecks14,Adam Vinatieri,IND,K
Ramrod14,John Kelly,LAR,RB
Pecan14,Andy Dalton,CIN,QB
