player,team,position,rushTds,recTds,totalPoints,vorp,projPosRank,projOvrRank,consensusOvrRank,consensusPosRank,adp
Derrick Henry,TEN,RB,11.9,1,77.4,60,1,1,3,3,7
Christian McCaffrey,CAR,RB,8.4,4.1,75,57.6,2,2,1,1,1
Ezekiel Elliott,DAL,RB,9.6,2.5,72.6,55.2,3,3,5,5,2
Saquon Barkley,NYG,RB,9,2.7,70.2,52.8,4,4,2,2,3
Dalvin Cook,MIN,RB,9.8,1.8,69.6,52.2,5,5,4,4,6
Aaron Jones,GB,RB,9.3,2.1,68.4,51,6,6,19,12,16
Clyde Edwards-Helaire,KC,RB,8,3.1,66.6,49.2,7,7,13,10,14
Alvin Kamara,NO,RB,7.9,2.9,64.8,47.4,8,8,6,6,5
Nick Chubb,CLE,RB,9,1.1,60.6,43.2,9,9,7,7,9
Todd Gurley,ATL,RB,7.6,2.1,58.2,40.8,10,10,36,16,28
Kenyan Drake,ARI,RB,7.5,2.2,58.2,40.8,11,11,21,13,21
Josh Jacobs,LV,RB,8.7,0.9,57.6,40.2,12,12,10,9,12
Joe Mixon,CIN,RB,7.5,1.7,55.2,37.8,13,13,8,8,8
Chris Carson,SEA,RB,7.7,1.3,54,36.6,14,14,28,15,34
Miles Sanders,PHI,RB,6.3,2.5,52.8,35.4,15,15,16,11,20
Melvin Gordon,DEN,RB,6.8,1.7,51,33.6,16,16,43,19,44
David Johnson,HOU,RB,5.4,2.9,49.8,32.4,17,17,47,21,40
Austin Ekeler,LAC,RB,4.3,3.9,49.2,31.8,18,18,25,14,25
Lamar Jackson,BAL,QB,5.9,,122.1,31.8,1,19,31,2,22
Mark Ingram II,BAL,RB,6.3,1.8,48.6,31.2,19,20,53,23,51
James Conner,PIT,RB,6.2,1.9,48.6,31.2,20,21,40,18,54
Patrick Mahomes,KC,QB,3,,120.6,30.3,2,22,24,1,19
Jonathan Taylor,IND,RB,6.8,1.1,47.4,30,21,23,46,20,36
Raheem Mostert,SF,RB,7,0.9,47.4,30,22,24,63,25,45
Davante Adams,GB,WR,0,9.4,56.4,29.16,1,25,9,1,10
Leonard Fournette,JAC,RB,6.3,1.3,45.6,28.2,23,26,39,17,31
David Montgomery,CHI,RB,6.6,0.9,45,27.6,24,27,60,24,60
Michael Thomas,NO,WR,0,9,54,26.76,2,28,12,3,4
Tyreek Hill,KC,WR,0.4,8.4,52.8,25.56,3,29,11,2,11
Ronald Jones II,TB,RB,6.2,0.9,42.6,25.2,25,30,76,29,85
Cam Akers,LAR,RB,5.9,1,41.4,24,26,31,71,28,65
Kareem Hunt,CLE,RB,4,2.5,39,21.6,27,32,79,30,71
Le'Veon Bell,NYJ,RB,4.9,1.6,39,21.6,28,33,51,22,46
Travis Kelce,KC,TE,,8,48,21,1,34,15,1,17
Marlon Mack,IND,RB,5.8,0.5,37.8,20.4,30,36,99,36,93
Kerryon Johnson,DET,RB,5.2,1.1,37.8,20.4,29,35,104,37,91
Kenny Golladay,DET,WR,0,7.9,47.4,20.16,4,37,20,6,24
Chris Godwin,TB,WR,0.1,7.7,46.8,19.56,6,39,17,5,18
Mike Evans,TB,WR,0.1,7.7,46.8,19.56,5,38,23,8,26
Jordan Howard,MIA,RB,5.5,0.6,36.6,19.2,31,40,83,31,90
Dak Prescott,DAL,QB,3.7,,108.9,18.6,3,41,54,3,43
Mark Andrews,BAL,TE,,7.6,45.6,18.6,2,42,26,3,32
DeAndre Hopkins,ARI,WR,0,7.6,45.6,18.36,7,43,22,7,15
D'Andre Swift,DET,RB,4.5,1.4,35.4,18,32,44,69,27,64
Tevin Coleman,SF,RB,4.8,0.9,34.2,16.8,33,45,93,33,114
Adam Thielen,MIN,WR,0.3,7,43.8,16.56,8,46,33,13,38
Calvin Ridley,ATL,WR,0,7.3,43.8,16.56,9,47,37,16,42
Cooper Kupp,LAR,WR,0,7.3,43.8,16.56,11,49,41,18,33
Tyler Lockett,SEA,WR,0.1,7.2,43.8,16.56,10,48,42,19,48
Deshaun Watson,HOU,QB,4.6,,105.9,15.6,4,50,62,6,41
Amari Cooper,DAL,WR,0,7.1,42.6,15.36,13,51,30,11,27
D.K. Metcalf,SEA,WR,0,7.1,42.6,15.36,12,52,48,21,50
Devin Singletary,BUF,RB,3.9,1.5,32.4,15,34,53,67,26,59
James White,NE,RB,1.7,3.6,31.8,14.4,35,54,106,38,94
Marquise Brown,BAL,WR,0.3,6.6,41.4,14.16,14,55,65,29,76
A.J. Brown,TEN,WR,0.3,6.6,41.4,14.16,15,56,27,9,35
Latavius Murray,NO,RB,4.6,0.6,31.2,13.8,36,57,114,39,128
Phillip Lindsay,DEN,RB,4.3,0.8,30.6,13.2,37,58,97,35,101
Julio Jones,ATL,WR,0,6.7,40.2,12.96,16,59,14,4,13
Zach Ertz,PHI,TE,,6.6,39.6,12.6,3,61,44,4,47
Sony Michel,NE,RB,4.7,0.3,30,12.6,38,60,118,41,89
Russell Wilson,SEA,QB,2.3,,102.6,12.3,5,62,57,4,52
George Kittle,SF,TE,,6.5,39,12,4,63,18,2,23
Allen Robinson,CHI,WR,0.1,6.4,39,11.76,19,65,29,10,37
Odell Beckham Jr.,CLE,WR,0,6.5,39,11.76,17,64,32,12,29
Marvin Jones,DET,WR,0,6.5,39,11.76,18,66,74,33,98
Josh Allen,BUF,QB,6.5,,101.7,11.4,6,67,72,7,68
J.K. Dobbins,BAL,RB,4,0.7,28.2,10.8,39,68,86,32,87
Zack Moss,BUF,RB,4.1,0.6,28.2,10.8,40,69,115,40,131
Courtland Sutton,DEN,WR,0,6.3,37.8,10.56,20,70,49,22,49
JuJu Smith-Schuster,PIT,WR,0,6.1,36.6,9.36,21,72,35,15,30
Michael Gallup,DAL,WR,0,6.1,36.6,9.36,23,73,64,28,73
Terry McLaurin,WAS,WR,0,6.1,36.6,9.36,22,71,45,20,62
Darrell Henderson,LAR,RB,3.4,1,26.4,9,42,74,132,45,132
Boston Scott,PHI,RB,3.8,0.6,26.4,9,41,75,144,49,162
Stefon Diggs,BUF,WR,0.1,5.9,36,8.76,24,78,58,27,57
T.Y. Hilton,IND,WR,0,6,36,8.76,25,77,56,26,63
Keenan Allen,LAC,WR,0.1,5.9,36,8.76,27,76,55,25,53
DeVante Parker,MIA,WR,0,6,36,8.76,26,79,52,24,55
Ke'Shawn Vaughn,TB,RB,3.1,1.2,25.8,8.4,43,80,137,46,97
D.J. Chark,JAC,WR,0,5.9,35.4,8.16,28,82,50,23,61
Jarvis Landry,CLE,WR,0.3,5.6,35.4,8.16,29,81,68,31,69
Jared Cook,NO,TE,,5.8,34.8,7.8,5,85,90,9,83
Matt Breida,MIA,RB,2.7,1.5,25.2,7.8,45,84,95,34,112
Tarik Cohen,CHI,RB,1.8,2.4,25.2,7.8,44,83,122,42,109
